Name	Rating	Year	Fed	Rank
Peter Korzubov	2465	1993	BLR	475	
Nikolai..V Krogius	2465	1993	RUS	476	
Peter Leko	2465	1993	HUN	477	
Thomas Luther	2465	1993	GER	478	
Ilan Manor	2465	1993	ISR	479	
Slobodan Martinovic	2465	1993	YUG	480	
Alexander Mikhalevski	2465	1993	ISR	481	
Alexander Obukhov	2465	1993	RUS	482	
S Oganesian	2465	1993	RUS	483	
Berge Ostenstad	2465	1993	NOR	484	
Alexander Raetsky	2465	1993	RUS	485	
Arkadij Rotstein	2465	1993	UKR	486	
John..A Peters	2465	1993	USA	487	
Jim Plaskett	2465	1993	ENG	488	
S Putenko	2465	1993	RUS	489	
Harry Schussler	2465	1993	SWE	490	
Semko Semkov	2465	1993	BUL	491	
Alex Sherzer	2465	1993	USA	492	
Veniamen Shtyrenkov	2465	1993	RUS	493	
Gudmundur Sigurjonsson	2465	1993	ISL	494	
Aleksa Strikovic	2465	1993	YUG	495	
Praveen..M Thipsay	2465	1993	IND	496	
Miodrag Todorcevic	2465	1993	YUG	497	
Gennady Tunik	2465	1993	RUS	498	
Henry Urday	2465	1993	PER	499	
Valeri Yandemirov	2465	1993	RUS	500	
Vitaly F Zaltsman	2465	1993	USA	501	
Arno Zude	2465	1993	GER	502	
Evgenij Agrest	2460	1993	SWE	503	
Nikolai Andrianov	2460	1993	RUS	504	
Ennio Arlandi	2460	1993	ITA	505	
Vladimir Belikov	2460	1993	RUS	506	
Emmanuel Bricard	2460	1993	FRA	507	
Robert-E Byrne	2460	1993	USA	508	
Lars Degerman	2460	1993	SWE	509	
Victor..J Frias	2460	1993	CHI	510	
Juan.Carlos Gonzalez	2460	1993	CUB	511	
Leon Gostisa	2460	1993	SLO	512	
 Govashelishvili	2460	1993	RUS	513	
Hichem Hamdouchi	2460	1993	MAR	514	
Michael Hoffmann	2460	1993	GER	515	
Nana.(IM) Ioseliani	2460	1993	GEO	516	
Zbigniew Jasnikowski	2460	1993	POL	517	
Alexander Khasin	2460	1993	RUS	518	
