Name	Rating	Year	Rank	Fed
H. Rossetto	2405	1978	ARG	433	
P. Szilagyi	2405	1978	HUN	434	
Taulbut	2405	1978	ENG	435	
D. Uddenfeldt	2405	1978	SWE	436	
A. Veingold	2405	1978	USR	437	
V. Baikov	2400	1978	USR	438	
Z. Basagic	2400	1978	YUG	439	
J. Bonin	2400	1978	USA	440	
O. Borik	2400	1978	FRG	441	
G.S. Botterill	2400	1978	WLS	442	
L. Bronstein	2400	1978	ARG	443	
L. Chiong	2400	1978	PHI	444	
C. Cuartas	2400	1978	COL	445	
O. Donchenko	2400	1978	USR	446	
B. Enklaar	2400	1978	NED	447	
R. Etruk	2400	1978	USR	448	
S. Fedder	2400	1978	DEN	449	
J. Garriga Nvalart	2400	1978	ESP	450	
E. Gik	2400	1978	USR	451	
L. Gofstein	2400	1978	USR	452	
L. Gonzales Mestres	2400	1978	ESP	453	
R. Gruchacz	2400	1978	USA	454	
F. Ignatiev	2400	1978	USR	455	
O. Jakobsen	2400	1978	DEN	456	
S. Johannessen	2400	1978	NOR	457	
B. Kogan	2400	1978	USR	458	
A. Kotov	2400	1978	USR	459	
L.M. Kovacs	2400	1978	HUN	460	
A. Lombard	2400	1978	SUI	461	
G. Makarov	2400	1978	USR	462	
L. Navarovszky	2400	1978	HUN	463	
Ostermeyer	2400	1978	FRG	464	
Pal Petran	2400	1978	HUN	465	
P. Popovic	2400	1978	YUG	466	
Renman	2400	1978	SWE	467	
I. Rogers	2400	1978	AUS	468	
Schinzel	2400	1978	POL	469	
Y. Seirawan	2400	1978	USA	470	
J. Tompa	2400	1978	HUN	471	
V. Vaisman	2400	1978	ROM	472	
P. Van der Sterren	2400	1978	NED	473	
K. Wockenfuss	2400	1978	FRG	474	
M. Yudovich	2400	1978	USR	475	
M.J. Basman	2395	1978	ENG	476	
J. Boudy	2395	1978	CUB	477	
E. Cobo Arteaga	2395	1978	CUB	478	
A. Diaz	2395	1978	YUG	479	
L. Eperjesi	2395	1978	HUN	480	
Gerenski	2395	1978	BUL	481	
S. Gorelov	2395	1978	USR	482	
J. Horner	2395	1978	ENG	483	
G. Iskov	2395	1978	DEN	484	
A.V. Ivanov	2395	1978	USR	485	
B. Jansson	2395	1978	SWE	486	
K. Kjarner	2395	1978	USR	487	
A. Kosikov	2395	1978	USR	488	
J. Kristiansen	2395	1978	DEN	489	
U. Kunsztowicz	2395	1978	FRG	490	
H.J. Meissner	2395	1978	YUG	491	
Gh. Mititelu	2395	1978	ROM	492	
S. Neamtu	2395	1978	ROM	493	
A. Segal	2395	1978	BRA	494	
Seidler	2395	1978	ARG	495	
Shvedchikov	2395	1978	USR	496	
C. Silva Sanchez	2395	1978	CHI	497	
Sturua	2395	1978	USR	498	
A. Sydor	2395	1978	POL	499	
Z. Vranesic	2395	1978	CAN	500	
L.D. Zaid	2395	1978	USR	501	
